date,horizon,actual,predicted,model
2024-08-01,3,2.6,2.437437,Hybrid LSTM–XGBoost
2024-09-01,3,2.5,1.4192132,Hybrid LSTM–XGBoost
2024-10-01,3,3.0,2.0341008,Hybrid LSTM–XGBoost
2024-11-01,3,2.8,2.2432244,Hybrid LSTM–XGBoost
2024-12-01,3,2.6,2.0800097,Hybrid LSTM–XGBoost
2025-01-01,3,3.5,2.8594291,Hybrid LSTM–XGBoost
2025-02-01,3,3.4,2.52837,Hybrid LSTM–XGBoost
2022-01-01,3,9.0,5.727249999999997,Random Forest
2022-02-01,3,9.1,5.330249999999998,Random Forest
2022-03-01,3,9.4,5.445499999999998,Random Forest
2022-04-01,3,10.1,5.558999999999997,Random Forest
2022-05-01,3,9.9,5.582749999999997,Random Forest
2022-06-01,3,10.1,5.588499999999999,Random Forest
2022-07-01,3,11.1,5.583499999999999,Random Forest
2022-08-01,3,10.7,5.46425,Random Forest
2022-09-01,3,10.5,5.43,Random Forest
2022-10-01,3,10.1,5.388249999999999,Random Forest
2022-11-01,3,10.4,5.329,Random Forest
2022-12-01,3,10.1,4.895500000000006,Random Forest
2023-01-01,3,8.7,4.456250000000009,Random Forest
2023-02-01,3,8.7,4.050250000000009,Random Forest
2023-03-01,3,7.9,3.970500000000012,Random Forest
2023-04-01,3,6.8,3.902500000000011,Random Forest
2023-05-01,3,6.7,3.84850000000001,Random Forest
2023-06-01,3,6.7,3.802000000000011,Random Forest
2023-07-01,3,4.6,3.792750000000011,Random Forest
2023-08-01,3,3.9,3.8320000000000105,Random Forest
2023-09-01,3,4.0,3.866250000000012,Random Forest
2023-10-01,3,4.0,3.759500000000012,Random Forest
2023-11-01,3,3.4,3.802750000000014,Random Forest
2023-12-01,3,3.2,3.8072500000000127,Random Forest
2024-01-01,3,2.3,3.8105000000000135,Random Forest
2024-02-01,3,2.0,3.332250000000008,Random Forest
2024-03-01,3,2.0,3.1082500000000035,Random Forest
2024-04-01,3,2.2,2.0002499999999976,Random Forest
2024-05-01,3,2.2,1.916750000000003,Random Forest
2024-06-01,3,1.7,1.8895000000000035,Random Forest
2024-07-01,3,2.3,2.0585000000000013,Random Forest
2024-08-01,3,2.6,2.011500000000003,Random Forest
2024-09-01,3,2.5,1.6297500000000016,Random Forest
2024-10-01,3,3.0,1.9900000000000015,Random Forest
2024-11-01,3,2.8,2.4159999999999955,Random Forest
2024-12-01,3,2.6,2.335499999999997,Random Forest
2025-01-01,3,3.5,2.686499999999997,Random Forest
2025-02-01,3,3.4,2.567499999999997,Random Forest
2022-07-01,5,10.5,3.3509564,Hybrid LSTM–XGBoost
2022-08-01,5,10.1,3.3352711,Hybrid LSTM–XGBoost
2022-09-01,5,10.4,3.3585007,Hybrid LSTM–XGBoost
2022-10-01,5,10.1,3.3716576,Hybrid LSTM–XGBoost
2022-11-01,5,8.7,3.3767116,Hybrid LSTM–XGBoost
2022-12-01,5,8.7,3.3681126,Hybrid LSTM–XGBoost
2023-01-01,5,7.9,3.3831246,Hybrid LSTM–XGBoost
2023-02-01,5,6.8,3.1901762,Hybrid LSTM–XGBoost
2023-03-01,5,6.7,2.8941255,Hybrid LSTM–XGBoost
2023-04-01,5,6.7,2.7446856,Hybrid LSTM–XGBoost
2023-05-01,5,4.6,2.431529,Hybrid LSTM–XGBoost
2023-06-01,5,3.9,2.4008837,Hybrid LSTM–XGBoost
2023-07-01,5,4.0,2.1766315,Hybrid LSTM–XGBoost
2023-08-01,5,4.0,2.0827463,Hybrid LSTM–XGBoost
2023-09-01,5,3.4,1.9953985,Hybrid LSTM–XGBoost
2023-10-01,5,3.2,2.0205092,Hybrid LSTM–XGBoost
2023-11-01,5,2.3,2.0269718,Hybrid LSTM–XGBoost
2023-12-01,5,2.0,2.0067258,Hybrid LSTM–XGBoost
2024-01-01,5,2.0,1.9979255,Hybrid LSTM–XGBoost
2024-02-01,5,2.2,1.9300587,Hybrid LSTM–XGBoost
2024-03-01,5,2.2,1.8803535,Hybrid LSTM–XGBoost
2024-04-01,5,1.7,2.049269,Hybrid LSTM–XGBoost
2024-05-01,5,2.3,2.2817273,Hybrid LSTM–XGBoost
2024-06-01,5,2.6,2.231077,Hybrid LSTM–XGBoost
2024-07-01,5,2.5,2.1758955,Hybrid LSTM–XGBoost
2024-08-01,5,3.0,1.9034551,Hybrid LSTM–XGBoost
2024-09-01,5,2.8,1.7414902,Hybrid LSTM–XGBoost
2024-10-01,5,2.6,1.7170783,Hybrid LSTM–XGBoost
2024-11-01,5,3.5,2.2220356,Hybrid LSTM–XGBoost
2024-12-01,5,3.4,2.1109552,Hybrid LSTM–XGBoost
2025-01-01,5,3.6,2.2058551,Hybrid LSTM–XGBoost
2025-02-01,5,3.8,2.0403032,Hybrid LSTM–XGBoost
2022-01-01,5,9.4,6.367249999999985,Random Forest
2022-02-01,5,10.1,4.992749999999995,Random Forest
2022-03-01,5,9.9,5.358999999999991,Random Forest
2022-04-01,5,10.1,5.398499999999988,Random Forest
2022-05-01,5,11.1,5.4587499999999896,Random Forest
2022-06-01,5,10.7,5.52699999999999,Random Forest
2022-07-01,5,10.5,5.53424999999999,Random Forest
2022-08-01,5,10.1,5.52974999999999,Random Forest
2022-09-01,5,10.4,5.48049999999999,Random Forest
2022-10-01,5,10.1,5.154249999999993,Random Forest
2022-11-01,5,8.7,5.063249999999996,Random Forest
2022-12-01,5,8.7,4.116499999999996,Random Forest
2023-01-01,5,7.9,3.3012499999999942,Random Forest
2023-02-01,5,6.8,2.845999999999997,Random Forest
2023-03-01,5,6.7,2.7822499999999994,Random Forest
2023-04-01,5,6.7,2.6645,Random Forest
2023-05-01,5,4.6,2.7012499999999977,Random Forest
2023-06-01,5,3.9,2.7235,Random Forest
2023-07-01,5,4.0,2.705,Random Forest
2023-08-01,5,4.0,2.7767499999999985,Random Forest
2023-09-01,5,3.4,2.662249999999999,Random Forest
2023-10-01,5,3.2,2.5369999999999986,Random Forest
2023-11-01,5,2.3,2.476499999999999,Random Forest
2023-12-01,5,2.0,2.4184999999999994,Random Forest
2024-01-01,5,2.0,2.513249999999998,Random Forest
2024-02-01,5,2.2,2.4744999999999986,Random Forest
2024-03-01,5,2.2,2.350999999999998,Random Forest
2024-04-01,5,1.7,2.052250000000002,Random Forest
2024-05-01,5,2.3,2.0617500000000017,Random Forest
2024-06-01,5,2.6,2.1357500000000016,Random Forest
2024-07-01,5,2.5,2.110750000000001,Random Forest
2024-08-01,5,3.0,1.927750000000001,Random Forest
2024-09-01,5,2.8,1.6262500000000015,Random Forest
2024-10-01,5,2.6,1.8780000000000028,Random Forest
2024-11-01,5,3.5,2.312000000000002,Random Forest
2024-12-01,5,3.4,2.322000000000001,Random Forest
2025-01-01,5,3.6,2.4572500000000006,Random Forest
2025-02-01,5,3.8,2.4590000000000005,Random Forest
